url,name,operator,address,city,state,country,postal_code,latitude,longitude,power_capacity_mw,building_size_sqft,whitespace_sqft,tier_rating,year_operational,certifications,description
https://www.datacentermap.com/usa/texas/dallas/datacenter-park-dallas/,Datacenter Park - Dallas,Follow on LinkedIn,900-908 Quality Way,Richardson,Texas,United States,75081.0,32.96608457,-96.71216818,,,,,,[],"Explore Datacenter Park - Dallas - data center by Digital Realty in Dallas, USA (900-908 Quality Way, Richardson)."
https://www.datacentermap.com/usa/texas/dallas/digital-realty-garland-campus/,Digital Realty Garland Campus,Follow on LinkedIn,1702 W Campbell Rd / 1502 Ferris Rd / 1505 Ferris Rd,Garland,Texas,United States,75044.0,32.977103,-96.650478,,,,,,[],"Explore Digital Realty Garland Campus - data center by Digital Realty in Dallas, USA (1702 W Campbell Rd / 1502 Ferris Rd / 1505 Ferris Rd, Garland)."
https://www.datacentermap.com/usa/texas/dallas/908-quality-way-dfw20/,908 Quality Way (DFW20),Follow on LinkedIn,908 Quality Way,Richardson,Texas,United States,75081.0,32.966215,-96.7099901,10.0,,38000.0,,,[],"Explore 908 Quality Way (DFW20) - data center by Digital Realty in Dallas, USA (908 Quality Way, Richardson). See Specs, Ecosystem and Nearby Data Centers."
https://www.datacentermap.com/usa/texas/dallas/904-quality-way-dfw21/,904 Quality Way (DFW21),Follow on LinkedIn,904 Quality Way,Richardson,Texas,United States,75081.0,32.96624917,-96.71115027,,,62600.0,,,[],"Explore 904 Quality Way (DFW21) - data center by Digital Realty in Dallas, USA (904 Quality Way, Richardson). See Specs, Ecosystem and Nearby Data Centers."
https://www.datacentermap.com/usa/texas/dallas/1702-w-campbell-rd/,1702 W Campbell Rd,Follow on LinkedIn,1702 W Campbell Rd,Garland,Texas,United States,75044.0,32.977103,-96.650478,,,,,,[],"Explore 1702 W Campbell Rd - data center by Digital Realty in Dallas, USA (1702 W Campbell Rd, Garland). See Specs, Ecosystem and Nearby Data Centers."
https://www.datacentermap.com/usa/texas/dallas/1502-ferris-rd/,1502 Ferris Rd,Follow on LinkedIn,1502 Ferris Rd,Garland,Texas,United States,75044.0,32.9742907,-96.6493987,8.0,,410000.0,,,[],"Explore 1502 Ferris Rd - data center by Digital Realty in Dallas, USA (1502 Ferris Rd, Garland). See Specs, Ecosystem and Nearby Data Centers."
https://www.datacentermap.com/usa/texas/dallas/1505-ferris-rd/,1505 Ferris Rd,Follow on LinkedIn,1505 Ferris Rd,Garland,Texas,United States,75044.0,32.974884,-96.6509725,,,181200.0,,,[],"Explore 1505 Ferris Rd - data center by Digital Realty in Dallas, USA (1505 Ferris Rd, Garland). See Specs, Ecosystem and Nearby Data Centers."
https://www.datacentermap.com/usa/texas/dallas/ragingwire-dallas-tx1/,GDC - Dallas TX1 Data Center,Dallas TX1 Data Center,2008 Lookout Drive,Garland,Texas,United States,75044.0,32.981173,-96.6563479,16.0,118000.0,,TIER 4,2017.0,[],"RagingWIre was acquired by NTT, first stake in 2014 and the rest in 2018"
https://www.datacentermap.com/usa/texas/dallas/cyrusone-carrolton/,CyrusOne DFW1 - Carrollton,DFW1 Spec Sheet,1649 Frankfort Road West,Carrollton,Texas,United States,75007.0,32.9940835,-96.9314096,,670000.0,400000.0,,,[],"Explore CyrusOne DFW1 - Carrollton - data center by CyrusOne Data Centers in Dallas, USA (1649 Frankfort Road West, Carrollton)."
https://www.datacentermap.com/usa/texas/dallas/irving-tx-dallas-texas/,"IRVING-TX (Dallas, Texas)",Follow on LinkedIn,6001 W Campus Circle,Irving city,Texas,United States,75063.0,32.8933566,-96.9802641,8.5,113406.0,,TIER 3,2025.0,[],"Explore IRVING-TX (Dallas, Texas) - data center by Cloudnium LLC. in Dallas, USA (6001 W Campus Circle, Irving city)."
https://www.datacentermap.com/usa/texas/dallas/carrier1/,Prime Dallas Data Center Campus,Follow on LinkedIn,1515 Round Table,Dallas,Texas,United States,75247.0,32.837943,-96.878977,,,,TIER 3,2014.0,[],"VPLS/Evocative acquired the Carrier-1 data center in 2022, which was later sold to Prime Data Centers"
https://www.datacentermap.com/usa/texas/dallas/cyrusone-dfw3/,CyrusOne DFW3 - Allen,DFW3 Spec Sheet,2300 Chelsea Blvd,Allen,Texas,United States,75013.0,33.140293,-96.659802,,976000.0,,TIER 4,,[],"Explore CyrusOne DFW3 - Allen - data center by CyrusOne Data Centers in Dallas, USA (2300 Chelsea Blvd, Allen). See Specs, Ecosystem and Nearby Data Centers."
https://www.datacentermap.com/usa/texas/dallas/equinix-dallas/,Equinix DA1,Equinix DA1 Specsheet,1950 North Stemmons Freeway,Dallas,Texas,United States,75207.0,32.800748,-96.819412,,,30355.0,,,[],"Explore Equinix DA1 - data center by Equinix in Dallas, USA (1950 North Stemmons Freeway). See Specs, Ecosystem and Nearby Data Centers."
https://www.datacentermap.com/usa/texas/dallas/dallas-technology-center/,CyrusOne DFW2 - Lewsiville,DFW2 Spec Sheet,2501 S. State Hwy 121 Business,Lewsiville,Texas,United States,75067.0,33.0010876,-96.9963813,,,,,,[],"Explore CyrusOne DFW2 - Lewsiville - data center by CyrusOne Data Centers in Dallas, USA (2501 S. State Hwy 121 Business, Lewsiville)."
https://www.datacentermap.com/usa/texas/dallas/equinix-da6/,Equinix DA6,Equinix DA6 Specsheet,1950 North Stemmons Freeway,Dallas,Texas,United States,75207.0,32.80139,-96.81953,,,71612.0,,,[],"Explore Equinix DA6 - data center by Equinix in Dallas, USA (1950 North Stemmons Freeway). See Specs, Ecosystem and Nearby Data Centers."
https://www.datacentermap.com/usa/texas/dallas/corespace/,CoreSpace Dallas Data Center,Cummins Gen,7505 John W Carpenter Freeway,Dallas,Texas,United States,75247.0,32.8175159,-96.8730838,,,,,2009.0,[],"Explore CoreSpace Dallas Data Center - data center by CoreSpace, Inc. in Dallas, USA (7505 John W Carpenter Freeway)."
