"datacenter","county","operator","voltage_kv","transmission_owner","distance_km"
"Cogent Data Center - Houston 2","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.79"
"Serverfarm Houston Data Center CTX2","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.68"
"Serverfarm Houston Data Center CTX1","Harris","Serverfarm","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.79"
"IBM HOU02","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.82"
"Lumen Houston 2","Harris","Lumen","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.35"
"DataBank ACT1 - Waco","McLennan","DataBank","161","ONCOR ELECTRIC DELIVERY CO.","2.39"
"Lumen Waco","McLennan","Lumen","161","ONCOR ELECTRIC DELIVERY CO.","9.08"
"DataBank ACT1 - Waco","McLennan","DataBank","161","ONCOR ELECTRIC DELIVERY CO.","3.06"
"Riot Platforms Corsicana","Navarro","Riot Platforms, Inc.","161","ONCOR ELECTRIC DELIVERY CO.","9.33"
"Energy Transfer Data Center","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.88"
"Thin-nology Data Center","Travis","Thin-nology LLC","138","ONCOR ELECTRIC DELIVERY CO.","3.74"
"SDC Austin Campus","Williamson","Sabey Data Center Properties LLC","138","ONCOR ELECTRIC DELIVERY CO.","0.13"
"Skybox Austin","Travis","Skybox Datacenters","138","ONCOR ELECTRIC DELIVERY CO.","0.50"
"Colovore Hutto","Williamson","Colovore","138","ONCOR ELECTRIC DELIVERY CO.","7.86"
"SDC Austin - Building B","Williamson","Sabey Data Center Properties LLC","138","ONCOR ELECTRIC DELIVERY CO.","0.35"
"Switch THE ROCK Campus","Williamson","Switch","138","ONCOR ELECTRIC DELIVERY CO.","2.59"
"SDC Austin - Building A","Williamson","Sabey Data Center Properties LLC","138","ONCOR ELECTRIC DELIVERY CO.","0.13"
"Thin-nology Data Center","Travis","Thin-nology LLC","138","ONCOR ELECTRIC DELIVERY CO.","5.91"
"SDC Austin Campus","Williamson","Sabey Data Center Properties LLC","138","ONCOR ELECTRIC DELIVERY CO.","0.13"
"Skybox Austin","Travis","Skybox Datacenters","138","ONCOR ELECTRIC DELIVERY CO.","0.52"
"Skybox PowerCampus Austin","Williamson","Skybox Datacenters","138","ONCOR ELECTRIC DELIVERY CO.","4.04"
"Colovore Hutto","Williamson","Colovore","138","ONCOR ELECTRIC DELIVERY CO.","0.31"
"SDC Austin - Building B","Williamson","Sabey Data Center Properties LLC","138","ONCOR ELECTRIC DELIVERY CO.","0.35"
"Switch THE ROCK Campus","Williamson","Switch","138","ONCOR ELECTRIC DELIVERY CO.","2.59"
"SDC Austin - Building A","Williamson","Sabey Data Center Properties LLC","138","ONCOR ELECTRIC DELIVERY CO.","0.13"
"Stream DC Houston I - The Woodlands","Montgomery","Follow on LinkedIn","138","ENTERGY TEXAS, INC.","4.26"
"12231 North Fwy (IAH13)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.13"
"12235 North Fwy (IAH14)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.04"
"12061 North Freeway (IAH11)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.07"
"Digital Houston Campus","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.06"
"12001 North Fwy (IAH10)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.09"
"Data Foundry- Houston 2","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.33"
"Cogent Data Center - Houston","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.16"
"FIBERTOWN - Houston, Texas","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.15"
"Serverfarm Houston Data Center CTX2","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.84"
"Lumen Houston 1","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.56"
"Serverfarm Houston Data Center CTX1","Harris","Serverfarm","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.97"
"IBM HOU00","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.19"
"IBM HOU02","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","5.91"
"IBM HOU01","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.88"
"12231 North Fwy (IAH13)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.13"
"12235 North Fwy (IAH14)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.04"
"12061 North Freeway (IAH11)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.07"
"Digital Houston Campus","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.06"
"12001 North Fwy (IAH10)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.09"
"Data Foundry- Houston 2","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.33"
"Cogent Data Center - Houston","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.16"
"FIBERTOWN - Houston, Texas","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.15"
"Serverfarm Houston Data Center CTX2","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.84"
"Lumen Houston 1","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.56"
"Serverfarm Houston Data Center CTX1","Harris","Serverfarm","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.97"
"IBM HOU00","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.19"
"IBM HOU02","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","5.92"
"IBM HOU01","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.89"
"12231 North Fwy (IAH13)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.24"
"12235 North Fwy (IAH14)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.15"
"12061 North Freeway (IAH11)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.18"
"Digital Houston Campus","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.18"
"12001 North Fwy (IAH10)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.21"
"Data Foundry- Houston 2","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.44"
